,alightings,boardings,cross_street,daytype,location,month,on_street,routes,stop_id
0,150.0,183.4,AUSTIN,Weekday,"{'type': 'Point', 'coordinates': [-87.77410482, 41.87632184]}",2012-10-01T00:00:00.000,JACKSON,126,1
1,0.2,5.3,MAYFIELD (EXTENDED),Weekday,"{'type': 'Point', 'coordinates': [-87.77131794, 41.87706679]}",2012-10-01T00:00:00.000,JACKSON,126,2
2,0.7,8.3,MENARD,Weekday,"{'type': 'Point', 'coordinates': [-87.76975039, 41.87695725]}",2012-10-01T00:00:00.000,JACKSON,126,3
3,3.0,17.9,5700 WEST,Weekday,"{'type': 'Point', 'coordinates': [-87.76745055, 41.87702418]}",2012-10-01T00:00:00.000,JACKSON,126,4
4,11.2,74.0,LOTUS,Weekday,"{'type': 'Point', 'coordinates': [-87.761446, 41.876513]}",2012-10-01T00:00:00.000,JACKSON,126,6
5,2.5,14.3,5351 WEST,Weekday,"{'type': 'Point', 'coordinates': [-87.75892544, 41.87655197]}",2012-10-01T00:00:00.000,JACKSON,126,7
6,14.1,62.4,LOCKWOOD,Weekday,"{'type': 'Point', 'coordinates': [-87.757313, 41.876564]}",2012-10-01T00:00:00.000,JACKSON,126,8
7,0.0,0.1,LARAMIE,Weekday,"{'type': 'Point', 'coordinates': [-87.75461526, 41.87659463]}",2012-10-01T00:00:00.000,JACKSON,126,9
8,0.0,0.0,LAVERGNE,Weekday,"{'type': 'Point', 'coordinates': [-87.74912362, 41.87662062]}",2012-10-01T00:00:00.000,JACKSON,126,12
9,0.0,0.0,4849 WEST,Weekday,"{'type': 'Point', 'coordinates': [-87.74701737, 41.87668892]}",2012-10-01T00:00:00.000,JACKSON,126,13
10,145.2,530.5,CICERO,Weekday,"{'type': 'Point', 'coordinates': [-87.74483066, 41.87676314]}",2012-10-01T00:00:00.000,JACKSON,126,14
11,13.1,51.6,KILPATRICK,Weekday,"{'type': 'Point', 'coordinates': [-87.74254901, 41.87682975]}",2012-10-01T00:00:00.000,JACKSON,126,15
12,8.1,16.2,KENTON,Weekday,"{'type': 'Point', 'coordinates': [-87.74058525, 41.87683358]}",2012-10-01T00:00:00.000,JACKSON,126,16
13,5.2,17.9,KOLMAR,Weekday,"{'type': 'Point', 'coordinates': [-87.73934698, 41.87685748]}",2012-10-01T00:00:00.000,JACKSON,126,17
14,29.6,56.4,KILBOURN,Weekday,"{'type': 'Point', 'coordinates': [-87.73761421, 41.87688572]}",2012-10-01T00:00:00.000,JACKSON,126,18
15,28.2,95.1,KOSTNER,Weekday,"{'type': 'Point', 'coordinates': [-87.73515882, 41.87691497]}",2012-10-01T00:00:00.000,JACKSON,126,19
16,31.0,56.3,KILDARE,Weekday,"{'type': 'Point', 'coordinates': [-87.73265, 41.876933]}",2012-10-01T00:00:00.000,JACKSON,126,20
17,21.5,49.4,KEELER,Weekday,"{'type': 'Point', 'coordinates': [-87.7302, 41.876963]}",2012-10-01T00:00:00.000,JACKSON,126,21
